Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
8052,KANNIKA ENTERPRISES,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
8102,SARANG ENTERPRISE,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
8113,V K SALES,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
8126,LEELA LAHER AGENCIES,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
8184,LAKSHMI SHANMUKA TRADERS,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
8189,BUDHIRAJA AGENCIES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
819,SRI VENKATRATNA TRDS.(SD),D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
8207,SGS Marketing,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
8254,BHANDARI TRADING CO,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
8295,Bhandari Trading Company,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
8344,RG SALES,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
8395,Balaji agency,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
8437,PARASRAM HEERANAND,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
8470,KRISHNA SALES CORPORATION,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
8488,PRATIMA SANTRA,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
8499,NAVKAR SALES,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
853,PIONEER SOAP HOUSE,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
8533,SAINI MARKETING,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
855,NAGINA STORES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
8582,SMRUTHI AGRO INNOVATION,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
8609,M/S MAA DURGA TRADERS,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
8679,CHIRAG TRADERS,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
8715,MAA BHAGWATI AGENCIES,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
872,A.B.C TRADERS,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
8740,VINDHYACHAL TRADELINK,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
8749,V.K SALES,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
8752,S D Enterprise,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
8757,SRINIVASA AND CO.,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
8767,SAI SAPTAGIRI ENTERPRISES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
8782,R V MARKETING,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
8792,Sampurnam Associates MT,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
8810,Saini Marketing MT,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
8832,M/S MOTICHAND RAOJI GANDHI,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
8880,Sri Ashok Agencies MT,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
8882,ZAYN SALES PRIVATE LIMITED,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
8885,POONAM AGENCIES,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
8895,SWARNADIP ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
8907,ABISHEK AGENCY,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
8937,M/S CHANDAN AGENCIES,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
8971,COSME MATIAS MENEZES PVT LTD -SCRUZ,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
8972,COSME MATIAS MENEZES PVT LTD -VERNA,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
9003,M/S Radha Krishna Agencies,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
9011,ANGEL CORPORATION,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
911,MANOJ KUMAR BAID & BROTHERS,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
914, J.K.TRADE &MARKETING,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
9157,VAISHNAV ENTERPRISES,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
9180,Srleafs Sales and Marketing PVT LTD,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
9191,POOJA DISTRIBUTORS-MT,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
9201,C.L. AGENCY,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
9291,SHREYA TRADING COMPANY,D112 - Ghaziabad,11/09/2023,Monday,NA,,Normal PDP,
9293,Angel Corporation,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
9317,MAHALAKSHMI MARKETING,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
9322,SUNMEX PHARMA,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
9326,ADINATH AGENCIES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
9376,A B AGENCIES,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
9377,VAAGDEVI AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
9400,SHREE MAHAVEER DISTRIBUTORS,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
9405,ANAND DISTRIBUTORS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
9433,CHIRAG TRADERS (New),D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
949,srinivasgdk949@gmail.com,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
9491,ARUN SUHAG BHANDAR,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
9500,SHRI VAASAVI TRADERS,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
954,buchanna.sa@gmail.com,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
9561,RAJ AGENCIES,D112 - Ghaziabad,11/09/2023,Monday,NA,,Normal PDP,
9574,M/S DEPTI STORE & AGENCY,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
9639,Pithamber Associates,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
9640,SHRI VAASAVI TRADERS,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
9683,PREM AGENCIES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
9686,LOOKENATH BHANDER,D237 - Agartala,11/09/2023,Monday,NA,,Normal PDP,
9693,KNK AGENCIES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
9706,SRI VENKATA LAXMI HANUMAN,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
9711,SRI GANESH ENTERPRISES,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
9714,SATISH KUMAR MADAN LAL,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
9765,SRS Enterprises,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
9775,SAMRIDDHI DISTRIBUTORS,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
9781,Chawla Enterprises,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
9805,Bhagat Sales Corporation,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
9818,Tadikonda Koteswara Rao & Co,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
9854,WAYCOOL FOODS AND PRODUCTS PRIVATE LIMITED,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
99,SOMS NETWORK,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
9934,M/S MONU TRADING COMPANY,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
9949,UTTAM TRADING CO,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
9957,MALLIKARJUNA AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
9980,S K Traders,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
9990,VASUDEV ENTERPRISE,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
